train/entropy_loss,time/time_elapsed,train/n_updates,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,time/iterations,train/policy_loss,eval/mean_ep_length,eval/mean_reward
-6.2203850746154785,2,99,0.21524018049240112,541.84521484375,-2.9084999999999996,714,5.97,0.0003,2000,100,-16.752120971679688,,
-6.217003345489502,5,199,0.3298851251602173,346.6690979003906,-7.5889999999999995,741,6.0,0.0003,4000,200,-44.48324203491211,,
-6.217700958251953,7,299,0.4359590411186218,329.6849670410156,-6.118500000000001,756,5.98,0.0003,6000,300,-39.43124008178711,,
-6.203800201416016,10,399,0.04261040687561035,1124.54541015625,-5.5005,769,6.0,0.0003,8000,400,36.21367263793945,,
-6.192781448364258,12,499,0.6770910024642944,289.8741455078125,-3.4395,774,5.95,0.0003,10000,500,-77.51935577392578,,
-6.183579444885254,15,599,0.48407185077667236,194.3977508544922,-6.6435,772,5.95,0.0003,12000,600,-15.504966735839844,,
-6.1657395362854,18,699,0.7012423276901245,177.8317413330078,-2.7344999999999997,777,5.96,0.0003,14000,700,-53.486183166503906,,
-6.169022560119629,20,799,0.6323615312576294,158.830322265625,-7.626500000000001,775,6.0,0.0003,16000,800,-19.63071060180664,,
-6.155500411987305,23,899,0.7377495765686035,173.0760498046875,-9.0565,768,6.0,0.0003,18000,900,-68.53651428222656,,
-6.169739246368408,,999,0.6688335537910461,91.60693359375,,,,0.0003,20000,,7.934916019439697,6.0,-103.54000001907349
,26,,,,-6.400499999999999,755,5.98,,20000,1000,,,
-6.159735679626465,28,1099,0.7316726446151733,84.83007049560547,-5.663499999999999,759,6.0,0.0003,22000,1100,-7.782508850097656,,
-6.147482872009277,31,1199,0.78900545835495,86.18928527832031,-6.139499999999999,759,5.9,0.0003,24000,1200,-27.451801300048828,,
-6.14376974105835,34,1299,0.6764129400253296,65.71315002441406,-5.294,760,6.0,0.0003,26000,1300,-28.75057029724121,,
-6.15523624420166,36,1399,0.8137137293815613,24.323915481567383,-9.347499999999998,761,6.0,0.0003,28000,1400,-6.003629207611084,,
-6.136631965637207,39,1499,0.5710346102714539,106.24317932128906,-9.074499999999999,761,6.0,0.0003,30000,1500,-6.433372497558594,,
-6.121156215667725,41,1599,0.8904100656509399,27.78290367126465,-6.411999999999999,763,5.94,0.0003,32000,1600,-11.095003128051758,,
-6.113602638244629,44,1699,0.8248929381370544,24.859107971191406,-3.3905000000000003,766,6.0,0.0003,34000,1700,-6.728360176086426,,
-6.094560146331787,46,1799,0.8728227615356445,36.44596481323242,-7.4685000000000015,770,6.0,0.0003,36000,1800,-16.257144927978516,,
-6.079931735992432,49,1899,0.7712215185165405,42.25101089477539,-8.0385,772,5.98,0.0003,38000,1900,1.6802759170532227,,
-6.071845054626465,,1999,0.6960398554801941,91.73481750488281,,,,0.0003,40000,,29.035503387451172,6.0,-102.92200000762939
,52,,,,-5.082000000000001,767,5.94,,40000,2000,,,
-6.045703887939453,54,2099,0.6884346604347229,33.41603469848633,-6.601999999999999,767,5.98,0.0003,42000,2100,5.192059516906738,,
-6.024102687835693,57,2199,0.7811768054962158,45.78962326049805,-8.409,765,6.0,0.0003,44000,2200,9.480318069458008,,
-6.043659687042236,59,2299,0.8254175782203674,32.23028564453125,-5.07,768,5.99,0.0003,46000,2300,0.49415016174316406,,
-6.010556221008301,62,2399,0.8504531979560852,36.03788375854492,-7.348,769,6.0,0.0003,48000,2400,-24.88547706604004,,
-6.025843620300293,64,2499,0.8291231989860535,44.374000549316406,-6.010999999999999,771,5.99,0.0003,50000,2500,-28.509267807006836,,
-6.0164923667907715,67,2599,0.9086031913757324,17.251142501831055,-6.5215,773,5.98,0.0003,52000,2600,-5.435845851898193,,
-5.983881950378418,69,2699,0.9521998763084412,10.181295394897461,-8.519,774,6.0,0.0003,54000,2700,-11.491880416870117,,
-5.96798038482666,72,2799,0.8203799724578857,29.98745346069336,-6.4514999999999985,775,5.96,0.0003,56000,2800,-20.3841609954834,,
-5.945868968963623,76,2899,0.8363076448440552,27.989727020263672,-9.181999999999999,756,6.0,0.0003,58000,2900,-0.062203217297792435,,
-5.918287754058838,,2999,0.89155113697052,21.020381927490234,,,,0.0003,60000,,-5.515047073364258,6.0,-103.07800010681153
,81,,,,-4.2565,739,5.94,,60000,3000,,,
-5.8860859870910645,83,3099,0.45988744497299194,181.74908447265625,-8.165499999999998,742,6.0,0.0003,62000,3100,13.681329727172852,,
-5.914675712585449,85,3199,0.7639316320419312,52.318214416503906,-6.8915,744,6.0,0.0003,64000,3200,-3.1238341331481934,,
-5.831250190734863,88,3299,0.7274768948554993,45.707542419433594,-4.406999999999999,747,5.99,0.0003,66000,3300,-15.637992858886719,,
-5.878884315490723,90,3399,0.8180440664291382,37.608341217041016,-6.3235,749,5.97,0.0003,68000,3400,-8.553889274597168,,
-5.893918037414551,93,3499,0.6529676914215088,132.09474182128906,-3.591,750,5.88,0.0003,70000,3500,40.98080825805664,,
-5.828264236450195,95,3599,0.7043410539627075,72.76563262939453,-5.788,752,5.96,0.0003,72000,3600,-36.4837532043457,,
-5.829944610595703,98,3699,0.6701864004135132,70.76518249511719,-4.9265,752,5.95,0.0003,74000,3700,-0.8024944067001343,,
-5.760581016540527,100,3799,0.8103150129318237,38.3160514831543,-5.051,754,5.96,0.0003,76000,3800,6.415994167327881,,
-5.789109230041504,103,3899,0.78087317943573,40.575531005859375,-7.723000000000002,755,6.0,0.0003,78000,3900,4.587828159332275,,
-5.7759013175964355,,3999,0.6576627492904663,55.91987228393555,,,,0.0003,80000,,0.23490771651268005,6.0,-102.6460001373291
,106,,,,-6.224499999999999,754,6.0,,80000,4000,,,
-5.702613353729248,108,4099,0.7365601658821106,66.89106750488281,-1.6824999999999997,755,5.93,0.0003,82000,4100,11.384897232055664,,
-5.68180513381958,111,4199,0.8066403865814209,33.44379425048828,-5.3225,756,5.96,0.0003,84000,4200,5.935812950134277,,
-5.658946990966797,113,4299,0.449310839176178,73.80471801757812,-7.531499999999999,757,6.0,0.0003,86000,4300,-28.298376083374023,,
-5.6513800621032715,115,4399,0.5810732245445251,70.47480010986328,-6.413,759,6.0,0.0003,88000,4400,-9.418441772460938,,
-5.624556541442871,118,4499,0.7483891844749451,88.69746398925781,-5.629500000000002,760,6.0,0.0003,90000,4500,30.847827911376953,,
-5.599213600158691,120,4599,0.8599753379821777,19.695554733276367,-6.635000000000002,761,6.0,0.0003,92000,4600,-7.7460222244262695,,
-5.571883201599121,123,4699,0.014909207820892334,4789.7177734375,-4.1825,762,5.94,0.0003,94000,4700,209.87094116210938,,
-5.478528022766113,125,4799,0.7535456418991089,33.010555267333984,-7.177499999999998,764,6.0,0.0003,96000,4800,2.313822031021118,,
-5.430273532867432,127,4899,0.6353433132171631,44.497459411621094,-9.322,766,6.0,0.0003,98000,4900,0.3119562268257141,,
-5.513413429260254,,4999,0.5880225896835327,114.44146728515625,,,,0.0003,100000,,2.7087464332580566,5.9,-97.868000125885
,130,,,,-6.9425,765,6.0,,100000,5000,,,
